company,month,market_condition,budget,marketing_spend,rnd_spend,pricing_strategy,product_quality,customer_base,action_taken,action_intensity,revenue,profit_margin,market_share,innovation_score
GammaRetail,1,growth,61654,98725,286950,0.93,7.5,48131,launch_product,8,692310,0.33,0.9357,7.3
BetaTech,19,growth,50246,79936,284015,1.05,8.02,24227,launch_product,1,43372,0.24,0.7784,6.6
BetaTech,11,recession,893146,167667,188644,1.01,4.05,50717,expand_market,7,677706,0.26,0.4569,8.4
GammaRetail,5,recession,356882,163040,117450,0.87,4.23,16898,marketing_blitz,6,628117,0.21,0.3715,1.8
BetaTech,1,growth,745105,186404,191837,1.05,5.93,12949,expand_market,3,437811,0.37,0.4137,5.46
GammaRetail,20,recession,368391,92282,135006,0.82,1.03,26557,price_cut,4,578366,0.15,0.0155,8.67
DeltaHealth,13,growth,276843,33374,100094,0.83,9.58,37999,marketing_blitz,6,939551,0.37,0.4711,2.27
GammaRetail,8,stagnation,784552,85663,42751,0.87,3.11,28676,price_cut,1,821420,0.29,0.0618,7.19
DeltaHealth,6,recession,196250,6896,148738,1.03,2.55,90080,invest_rnd,2,1901130,0.34,0.6811,9.94
DeltaHealth,17,growth,692343,97536,97492,1.1,6.74,65543,invest_rnd,1,882027,0.27,0.9236,4.41
AlphaCorp,12,growth,341050,31261,152732,1.11,8.63,51560,invest_rnd,5,558850,0.16,0.9819,1.43
GammaRetail,1,growth,183761,84055,177529,0.91,6.78,66346,invest_rnd,4,918110,0.32,0.6374,3.85
AlphaCorp,3,recession,738715,84630,297940,0.95,6.66,67361,invest_rnd,6,1569942,0.21,0.3574,2.49
GammaRetail,14,recession,903436,118032,20740,0.89,5.4,72032,marketing_blitz,8,1960737,0.29,0.543,2.34
GammaRetail,8,stagnation,115768,87706,245304,0.81,9.02,41497,price_cut,9,573741,0.12,0.8584,8.69
AlphaCorp,11,recession,220725,128537,131090,1.0,9.7,63982,marketing_blitz,10,161989,0.07,0.7007,5.56
AlphaCorp,14,recession,172699,57436,258798,1.02,6.36,8001,expand_market,1,766373,0.27,0.5105,7.9
GammaRetail,8,recession,178881,54126,8928,1.17,1.71,29378,marketing_blitz,4,474527,0.36,0.2588,8.03
BetaTech,3,stagnation,195304,24578,32117,1.08,1.91,26746,invest_rnd,6,1519363,0.32,0.6004,1.04
DeltaHealth,7,stagnation,139060,118046,155295,1.17,4.77,50593,invest_rnd,7,108594,0.35,0.1416,8.33
AlphaCorp,19,stagnation,150190,58022,201885,0.91,5.43,55379,launch_product,5,542058,0.06,0.5126,3.05
DeltaHealth,4,recession,590981,155474,235895,1.09,6.77,87042,marketing_blitz,3,828945,0.35,0.7253,8.8
BetaTech,16,growth,206591,49802,65793,1.04,9.94,32780,price_cut,2,1271598,0.18,0.1642,2.29
BetaTech,13,recession,927451,172935,255231,0.92,7.37,82997,launch_product,6,1725560,0.09,0.6948,2.04
BetaTech,20,stagnation,486701,74165,230557,0.88,8.86,64495,marketing_blitz,1,144043,0.32,0.1484,5.86
AlphaCorp,19,recession,311633,89069,190361,0.92,9.48,93416,price_cut,5,316025,0.26,0.8314,7.05
BetaTech,5,recession,903568,155302,257203,1.19,2.76,4557,launch_product,10,1138733,0.16,0.872,7.61
AlphaCorp,23,growth,551811,164824,189428,0.81,4.0,76745,launch_product,9,1129215,0.36,0.4549,5.78
BetaTech,5,growth,306300,69594,170305,1.16,7.19,77230,launch_product,9,849972,0.37,0.6658,7.8
DeltaHealth,20,recession,774719,50310,178795,1.11,6.88,8381,marketing_blitz,1,1694528,0.25,0.0893,6.74
DeltaHealth,24,stagnation,814544,114971,128768,1.02,4.81,63723,launch_product,10,993849,0.37,0.0137,8.25
GammaRetail,4,recession,168002,92791,167597,1.14,8.69,15272,invest_rnd,7,1767149,0.07,0.1688,2.69
DeltaHealth,2,recession,865459,161695,292981,0.82,9.83,1927,marketing_blitz,5,1740157,0.12,0.6879,1.5
GammaRetail,13,recession,900739,129194,299243,1.02,4.59,35153,launch_product,2,872107,0.3,0.5659,8.65
DeltaHealth,16,stagnation,218770,45510,38017,0.91,4.13,2000,expand_market,4,1514858,0.12,0.4155,4.75
AlphaCorp,22,stagnation,317873,92837,120753,0.8,3.59,64230,price_cut,1,731021,0.33,0.7323,2.89
DeltaHealth,2,stagnation,310683,153243,137068,1.05,6.05,57849,price_cut,9,311817,0.14,0.6389,4.95
GammaRetail,19,stagnation,631431,128924,119918,1.06,6.51,97133,launch_product,1,1894545,0.31,0.5195,6.76
GammaRetail,17,stagnation,547081,146103,213774,1.04,2.64,55970,expand_market,1,584836,0.35,0.1511,3.69
BetaTech,5,recession,358076,199288,119345,0.96,3.54,41893,price_cut,1,547832,0.34,0.3683,1.68
AlphaCorp,18,stagnation,458282,154758,180193,1.12,2.09,36022,expand_market,8,565003,0.1,0.5631,2.65
DeltaHealth,23,recession,690817,116983,152859,0.94,9.14,1127,invest_rnd,6,1420682,0.32,0.3441,4.57
BetaTech,21,recession,461236,99232,74612,1.04,6.84,29555,marketing_blitz,10,1279366,0.36,0.3941,8.57
DeltaHealth,18,recession,784326,60924,106756,1.2,6.0,90052,expand_market,9,389078,0.16,0.7738,8.54
DeltaHealth,8,growth,166363,146702,78582,1.14,9.31,93461,launch_product,6,368982,0.21,0.6659,2.96
BetaTech,15,stagnation,571586,119564,167168,1.06,9.84,90751,launch_product,1,143812,0.4,0.6609,7.57
BetaTech,13,stagnation,379470,2823,280006,1.07,1.22,11790,launch_product,8,827874,0.38,0.8802,1.56
BetaTech,13,recession,249752,85248,275575,1.14,8.11,19781,expand_market,8,410360,0.11,0.4637,5.63
BetaTech,16,growth,946448,164744,250411,0.87,5.85,1712,price_cut,3,1030256,0.19,0.8207,7.29
BetaTech,22,stagnation,220807,189774,180254,0.84,1.02,54889,marketing_blitz,4,215749,0.35,0.239,4.2
DeltaHealth,20,recession,754667,189197,241089,0.89,4.87,93745,expand_market,5,309105,0.36,0.8125,5.37
BetaTech,13,growth,466514,16606,46647,1.1,7.96,66802,price_cut,1,333442,0.18,0.074,6.84
AlphaCorp,20,recession,91893,170051,173790,1.11,7.69,9182,invest_rnd,8,713083,0.05,0.7351,2.28
GammaRetail,2,growth,271759,69430,138376,0.81,9.35,46254,invest_rnd,4,1340718,0.36,0.6228,8.14
BetaTech,3,recession,174213,85615,105451,0.82,6.59,55838,expand_market,6,555574,0.19,0.9519,5.36
BetaTech,15,stagnation,939079,103400,220526,1.19,3.04,20351,marketing_blitz,6,979404,0.25,0.2115,6.06
DeltaHealth,23,recession,616699,185265,80099,1.0,7.54,94637,marketing_blitz,10,1987063,0.31,0.8255,2.32
BetaTech,19,recession,759675,126242,106741,1.01,9.83,52958,price_cut,2,851209,0.26,0.3055,2.71
BetaTech,13,growth,988436,6410,44565,1.04,8.97,53231,expand_market,5,283608,0.14,0.8856,6.38
BetaTech,5,growth,548356,40392,275431,1.19,1.02,51280,marketing_blitz,4,1865141,0.08,0.4739,9.88
DeltaHealth,22,stagnation,653020,94455,177370,0.86,4.89,27840,launch_product,3,974694,0.39,0.1093,6.83
BetaTech,6,recession,444155,73333,31053,1.05,2.87,38809,launch_product,2,1441607,0.22,0.0764,8.16
GammaRetail,14,growth,454867,186860,29024,0.83,5.44,73644,expand_market,4,1226139,0.05,0.2185,7.99
DeltaHealth,4,stagnation,845717,136956,254980,1.01,4.53,26855,launch_product,4,891017,0.3,0.3812,8.99
GammaRetail,22,stagnation,909058,19745,295238,0.98,6.06,11776,invest_rnd,8,888045,0.19,0.697,5.63
DeltaHealth,19,growth,234165,176672,284964,0.91,8.43,73195,expand_market,10,834581,0.11,0.3511,8.26
BetaTech,23,growth,863509,101490,254117,0.98,6.78,85486,marketing_blitz,7,389639,0.18,0.284,1.32
GammaRetail,7,recession,753194,83417,173074,1.08,4.22,50002,launch_product,1,135691,0.17,0.9805,6.57
DeltaHealth,4,stagnation,493829,98606,165176,1.14,4.04,5395,invest_rnd,6,417855,0.19,0.3394,6.37
AlphaCorp,2,growth,634045,35936,84949,1.11,2.89,15101,price_cut,8,1099421,0.29,0.8131,8.89
BetaTech,7,stagnation,619021,98671,163073,1.03,5.64,86975,expand_market,10,247791,0.06,0.162,7.79
DeltaHealth,3,recession,991823,105912,191277,1.16,8.3,41761,marketing_blitz,4,237524,0.19,0.3818,4.7
AlphaCorp,15,growth,75786,8133,22595,1.08,1.01,48120,expand_market,5,1306071,0.27,0.0521,5.99
DeltaHealth,1,stagnation,725042,96408,146149,1.14,7.38,76911,expand_market,6,1196523,0.4,0.8257,5.7
AlphaCorp,2,growth,820108,167251,124686,0.96,5.56,6048,expand_market,3,327681,0.26,0.3964,1.26
BetaTech,10,recession,248823,29832,13131,1.08,8.74,91446,invest_rnd,3,1378715,0.37,0.3596,2.2
GammaRetail,16,recession,842707,83583,282294,0.83,5.6,84497,expand_market,10,88935,0.18,0.9907,2.09
AlphaCorp,15,recession,766954,100270,120747,1.18,8.91,70033,launch_product,3,1887476,0.22,0.5382,7.82
DeltaHealth,24,recession,93791,75277,177545,1.05,7.65,77021,price_cut,2,38607,0.38,0.1504,9.5
BetaTech,15,growth,120353,114998,98779,1.14,5.37,96271,expand_market,7,511297,0.18,0.5176,4.78
AlphaCorp,14,growth,463702,190489,13502,0.99,3.69,77487,invest_rnd,1,1486883,0.29,0.0827,9.99
DeltaHealth,22,stagnation,456026,71378,100457,0.81,9.77,14531,price_cut,6,1470015,0.08,0.7275,8.17
DeltaHealth,14,stagnation,416279,175168,106563,1.0,2.88,13948,launch_product,6,1849376,0.19,0.0216,4.61
DeltaHealth,6,growth,361546,18276,276117,1.09,8.01,29266,marketing_blitz,10,254879,0.14,0.7532,4.8
AlphaCorp,14,growth,297359,192184,53885,0.83,7.16,15659,price_cut,10,1220040,0.14,0.1396,6.66
AlphaCorp,17,stagnation,196099,43208,108816,0.84,4.7,35466,expand_market,6,42987,0.31,0.916,3.96
AlphaCorp,18,growth,735695,51342,83197,0.82,7.47,86075,marketing_blitz,6,761977,0.17,0.9536,9.11
GammaRetail,20,recession,254037,154483,87594,0.85,2.17,51696,invest_rnd,5,1809651,0.1,0.3755,9.61
AlphaCorp,19,recession,527303,148792,37612,1.05,3.17,79207,launch_product,8,1393497,0.38,0.7369,1.95
AlphaCorp,17,recession,531327,161333,56268,1.15,7.47,7638,marketing_blitz,5,1963374,0.12,0.9897,1.25
AlphaCorp,16,stagnation,389012,165274,261972,0.99,2.15,32773,marketing_blitz,1,1978555,0.4,0.8728,5.85
GammaRetail,8,growth,473800,131569,206978,1.12,9.16,62357,expand_market,1,1406495,0.06,0.9394,2.99
AlphaCorp,7,stagnation,92245,30739,86584,0.96,6.38,5669,price_cut,10,1766902,0.1,0.955,8.22
DeltaHealth,20,stagnation,589365,76559,176337,1.14,1.64,34204,expand_market,6,1563301,0.27,0.8568,9.74
AlphaCorp,12,growth,682571,125380,71556,0.86,7.92,64408,invest_rnd,1,267397,0.38,0.4537,9.69
DeltaHealth,9,stagnation,461068,60500,80670,1.03,4.94,20456,price_cut,2,350252,0.32,0.6153,7.37
DeltaHealth,14,recession,430865,106147,273636,1.01,3.67,25268,marketing_blitz,4,714153,0.17,0.4958,7.77
DeltaHealth,20,growth,624942,104493,11159,0.84,5.78,88441,marketing_blitz,5,1277699,0.26,0.7548,4.08
GammaRetail,1,recession,898095,133839,176050,0.9,7.76,26348,expand_market,7,1111910,0.4,0.5282,2.04
GammaRetail,10,recession,318744,177670,276309,0.99,9.2,59489,price_cut,10,1974092,0.1,0.7711,1.36
GammaRetail,17,growth,775710,142256,208435,1.11,3.88,84067,expand_market,7,1623130,0.16,0.3105,2.86
AlphaCorp,17,recession,225469,25249,105232,1.16,7.25,76265,price_cut,2,1134015,0.31,0.0519,1.44
DeltaHealth,17,recession,907012,69716,48401,1.09,4.07,37069,expand_market,9,743193,0.17,0.8582,2.49
GammaRetail,4,recession,328555,114248,294406,0.92,1.12,52106,expand_market,7,1087154,0.23,0.855,6.64
GammaRetail,17,growth,376508,180014,100238,0.84,9.66,22200,price_cut,7,437117,0.24,0.759,7.57
AlphaCorp,18,growth,270890,36079,226719,1.01,3.68,59376,marketing_blitz,1,699078,0.33,0.5828,8.81
GammaRetail,20,growth,878292,111881,161029,0.94,5.18,78662,expand_market,7,1241737,0.35,0.6292,9.51
AlphaCorp,23,stagnation,377780,75256,179439,1.03,6.84,60718,invest_rnd,10,1282563,0.35,0.3014,1.14
BetaTech,2,recession,502665,64581,270206,0.96,7.12,14071,launch_product,7,350196,0.31,0.4718,7.13
GammaRetail,8,stagnation,589671,19769,179242,0.95,8.4,4741,marketing_blitz,9,242756,0.2,0.869,2.67
BetaTech,13,stagnation,529646,76316,11125,1.16,4.44,27375,marketing_blitz,8,1842088,0.33,0.8817,1.42
AlphaCorp,23,recession,630834,188366,147451,1.07,7.37,89494,launch_product,10,1812875,0.22,0.5899,8.68
DeltaHealth,22,growth,217080,62326,292926,1.07,6.54,60223,launch_product,9,1370615,0.09,0.364,8.14
GammaRetail,20,stagnation,979013,99111,60029,0.85,9.87,94966,marketing_blitz,5,538234,0.15,0.9526,8.86
AlphaCorp,22,growth,752275,84564,75786,0.96,7.66,28660,price_cut,7,194012,0.22,0.2314,6.79
DeltaHealth,15,growth,738126,166432,142065,1.11,9.5,60150,launch_product,4,182338,0.1,0.732,9.87
DeltaHealth,20,recession,180771,62075,172878,1.03,3.55,56924,marketing_blitz,10,10227,0.23,0.8679,5.11
BetaTech,23,stagnation,703674,180260,255281,0.98,5.1,49426,invest_rnd,10,1422982,0.25,0.9588,3.9
AlphaCorp,9,stagnation,510240,197685,248196,1.19,5.76,92849,launch_product,6,1928320,0.36,0.0357,8.3
DeltaHealth,3,growth,608509,72194,172239,0.85,8.63,56456,expand_market,2,1386769,0.14,0.6213,5.67
GammaRetail,3,recession,756313,55702,208667,0.86,4.82,65923,marketing_blitz,1,1062856,0.31,0.2466,8.47
GammaRetail,2,stagnation,767220,160842,8872,1.03,6.01,40130,launch_product,5,1731246,0.39,0.1181,3.47
BetaTech,1,growth,516836,180739,46349,0.96,2.24,65980,invest_rnd,9,1748127,0.34,0.1691,1.84
DeltaHealth,14,growth,734052,52845,50124,0.99,2.73,70390,expand_market,4,1043849,0.28,0.0395,5.61
AlphaCorp,17,growth,669131,24336,73557,1.02,4.52,35746,invest_rnd,5,22443,0.27,0.4051,6.58
GammaRetail,13,recession,225472,84258,5456,0.85,1.45,84078,invest_rnd,2,32818,0.33,0.3822,5.09
DeltaHealth,19,recession,152863,53446,177377,0.91,1.69,3077,launch_product,8,1287000,0.22,0.3926,2.7
DeltaHealth,23,growth,514992,97077,223910,1.01,7.34,15861,price_cut,9,1948942,0.25,0.6536,8.49
BetaTech,15,growth,647641,88228,67213,0.88,1.64,57655,launch_product,3,128686,0.27,0.1448,2.31
GammaRetail,14,recession,411963,12215,129430,1.14,1.02,29469,expand_market,4,943373,0.19,0.5195,5.46
GammaRetail,2,growth,684705,154904,297178,1.11,1.56,93567,price_cut,3,1572782,0.09,0.2908,4.51
AlphaCorp,7,growth,393392,28396,167992,1.03,6.75,16762,expand_market,7,1864253,0.05,0.3719,9.49
GammaRetail,17,recession,328108,164295,141273,1.0,6.06,31839,marketing_blitz,4,1893702,0.35,0.6152,1.53
AlphaCorp,18,growth,995246,120562,25141,1.17,8.33,6779,expand_market,6,214036,0.05,0.6819,2.27
GammaRetail,6,growth,238439,103229,14266,1.1,2.85,47903,expand_market,1,899081,0.05,0.5281,3.07
BetaTech,21,growth,769227,156370,279376,0.82,6.3,18035,expand_market,2,853946,0.2,0.8863,2.18
GammaRetail,8,recession,763099,166927,135563,0.89,8.26,7701,expand_market,7,1772024,0.19,0.3591,9.11
AlphaCorp,2,recession,870627,112067,198003,0.83,7.47,46624,launch_product,9,1424323,0.11,0.8076,6.12
AlphaCorp,1,recession,514837,190553,260784,1.2,3.86,9027,expand_market,1,1153527,0.26,0.0651,9.78
BetaTech,16,stagnation,278999,75406,83820,0.97,6.56,69529,price_cut,2,1735421,0.15,0.9758,5.86
GammaRetail,7,stagnation,277149,112429,289928,0.85,7.59,37882,launch_product,8,1807612,0.3,0.4636,8.32
GammaRetail,22,stagnation,487380,128507,167776,0.94,8.37,33908,invest_rnd,7,438251,0.22,0.8239,6.04
BetaTech,24,stagnation,555909,65899,230190,1.19,9.9,59327,launch_product,3,444625,0.22,0.4063,3.63
GammaRetail,11,recession,835699,98240,124104,0.86,4.6,13311,price_cut,8,974524,0.3,0.3225,6.51
GammaRetail,15,growth,460613,167668,232088,0.94,1.27,81730,launch_product,8,1472237,0.18,0.1106,2.73
AlphaCorp,13,recession,545746,109619,258184,0.91,5.71,20049,marketing_blitz,9,829382,0.28,0.6937,7.71
GammaRetail,24,stagnation,812275,68848,266015,1.12,3.89,5562,marketing_blitz,5,133726,0.39,0.2517,6.84
GammaRetail,2,recession,381029,187682,299860,0.81,3.72,52698,invest_rnd,1,1866136,0.33,0.2651,8.09
BetaTech,14,growth,491095,47047,89159,1.18,7.15,96782,expand_market,9,1404055,0.35,0.0097,9.91
BetaTech,24,stagnation,285452,28908,46875,1.15,1.39,35329,launch_product,9,1823962,0.09,0.2693,2.42
DeltaHealth,6,growth,62157,25482,59395,0.95,5.87,80694,price_cut,3,1997550,0.11,0.7844,8.5
AlphaCorp,9,growth,434589,174424,227544,1.16,6.71,10335,invest_rnd,2,969106,0.38,0.1692,7.22
GammaRetail,7,growth,112214,53887,42799,0.97,7.54,96947,launch_product,8,819183,0.36,0.3156,3.73
GammaRetail,18,stagnation,284563,117712,211295,0.92,9.66,39224,invest_rnd,5,455782,0.29,0.3518,7.78
DeltaHealth,24,recession,326029,13369,193061,0.96,1.08,35116,launch_product,9,675152,0.22,0.8505,6.6
GammaRetail,9,stagnation,157922,2660,154014,1.13,5.71,29139,price_cut,6,788063,0.11,0.1209,4.75
AlphaCorp,23,stagnation,450234,165069,190399,1.02,8.87,82624,marketing_blitz,5,1387435,0.1,0.0618,7.44
DeltaHealth,4,recession,791550,27197,115382,0.89,2.84,42014,launch_product,5,454153,0.31,0.089,9.77
AlphaCorp,9,recession,129127,122129,58761,0.83,9.78,25633,expand_market,8,904529,0.28,0.3576,6.8
DeltaHealth,4,recession,836821,18962,189023,1.04,2.71,1744,marketing_blitz,1,693707,0.08,0.1195,4.95
DeltaHealth,12,recession,220731,66816,281472,1.13,6.73,9459,expand_market,5,1498052,0.06,0.7462,9.67
BetaTech,4,growth,590807,30201,23168,1.14,1.67,19854,price_cut,4,24753,0.12,0.254,4.01
AlphaCorp,24,stagnation,85224,101759,81524,1.13,5.67,54109,invest_rnd,5,1345257,0.12,0.4309,9.36
GammaRetail,20,stagnation,370088,50141,17907,1.01,3.25,31550,marketing_blitz,2,70650,0.32,0.4194,7.22
GammaRetail,14,stagnation,335641,146086,275606,0.95,3.8,81311,price_cut,5,290290,0.22,0.0983,5.03
AlphaCorp,24,recession,992698,180150,115367,1.19,4.33,95463,marketing_blitz,10,310296,0.27,0.8378,7.99
GammaRetail,24,stagnation,977272,62662,257577,1.17,3.1,28966,expand_market,6,1607633,0.17,0.9422,4.39
GammaRetail,7,growth,471561,121681,111939,1.1,8.8,92662,launch_product,5,331600,0.12,0.5282,7.15
AlphaCorp,13,stagnation,170784,130717,180573,0.97,2.37,16441,marketing_blitz,7,1208108,0.25,0.1081,3.56
DeltaHealth,22,stagnation,978621,176283,248470,1.19,4.87,60841,invest_rnd,2,85473,0.29,0.9755,4.62
AlphaCorp,8,growth,612562,145385,13734,0.95,9.83,30976,expand_market,9,116063,0.13,0.0011,1.56
DeltaHealth,23,growth,500568,170891,113801,1.07,6.29,37145,invest_rnd,10,1148465,0.38,0.9407,4.03
GammaRetail,5,stagnation,124931,129919,33940,0.92,6.68,52943,launch_product,5,1477610,0.2,0.552,2.35
GammaRetail,12,recession,322057,114773,39793,1.13,7.56,17004,launch_product,4,1176709,0.36,0.5154,8.8
GammaRetail,13,recession,237835,97159,267512,1.14,8.8,36967,launch_product,6,723573,0.12,0.8556,6.4
BetaTech,20,stagnation,976289,129306,19735,1.0,8.38,19876,invest_rnd,5,1345043,0.06,0.9772,1.97
DeltaHealth,14,stagnation,520704,187157,255187,1.02,4.28,24676,invest_rnd,9,1242136,0.28,0.4687,3.82
BetaTech,18,stagnation,943533,164212,15344,1.18,8.54,6228,marketing_blitz,5,349963,0.07,0.6642,7.33
BetaTech,24,stagnation,269012,56913,202387,0.86,2.84,37249,launch_product,9,1530581,0.27,0.2678,6.25
AlphaCorp,20,recession,346381,79590,276819,0.99,4.64,49505,expand_market,3,1405577,0.22,0.9994,7.9
BetaTech,4,stagnation,129987,33781,220477,1.01,7.01,22232,launch_product,6,1669343,0.28,0.6851,7.12
AlphaCorp,21,growth,231919,33016,147704,1.13,3.2,81946,price_cut,8,131989,0.08,0.4512,1.69
AlphaCorp,18,recession,605252,130679,140241,1.11,4.19,70206,invest_rnd,3,1921496,0.17,0.4624,2.82
BetaTech,7,recession,411754,98183,96127,1.04,5.61,50282,launch_product,1,1868518,0.25,0.895,2.26
DeltaHealth,15,growth,317476,52406,131451,0.86,3.17,36335,invest_rnd,10,1236353,0.36,0.8471,3.28
DeltaHealth,21,stagnation,600551,61010,34633,0.96,7.85,92257,marketing_blitz,2,925766,0.26,0.157,8.27
DeltaHealth,6,stagnation,809461,82142,61410,0.84,7.56,72392,expand_market,5,645822,0.11,0.3306,6.74
DeltaHealth,16,stagnation,359698,11974,14267,0.86,9.3,29089,marketing_blitz,6,901587,0.18,0.2861,2.85
DeltaHealth,20,stagnation,725727,14067,18085,0.89,1.59,28819,price_cut,3,75903,0.07,0.3288,7.77
BetaTech,24,stagnation,717278,33480,79767,0.93,9.1,2585,invest_rnd,4,1903652,0.25,0.2552,6.96
BetaTech,8,growth,943976,2098,130065,0.98,1.14,60841,price_cut,2,286056,0.11,0.02,1.8
GammaRetail,21,stagnation,264727,140188,296004,1.09,8.42,4120,invest_rnd,4,1231842,0.28,0.9604,7.11
DeltaHealth,16,growth,889912,14354,195085,0.81,3.31,52602,invest_rnd,7,1808816,0.32,0.9795,5.27
BetaTech,22,growth,244051,20588,62296,1.15,6.87,10793,price_cut,10,562126,0.07,0.5628,2.0
